"","name","number","abbrev","peak.date","theo.ra","theo.dec","mean.ra","mean.dec","sdom","n.events","n.radiants","n.bad.events","n.bad.radiants","fishkent.p.value","vmf.mu.x","vmf.mu.y","vmf.mu.z","vmf.kappa","kent.mu.x","kent.mu.y","kent.mu.z","kent.kappa"
"...55","α-Monocerotids","246","AMO","20111122","117","1",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...56","Phoenicids","254","PHO","20111206","18","-53",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...57","Puppid-Velids","301","PUP","20111207","123","-45",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...58","Monocerotids","019","MON","20111209","100","8",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...59","σ-Hydrids","016","HYD","20111212","127","2",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...60","Geminids","004","GEM","20111214","112","33",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...61","Dec. L. Minorids","032","DLM","20111220","161","30",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...62","Comae Ber.","020","COM","20111216","175","18",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...63","Ursids","015","URS","20111223","217","76",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...64","﻿Quadrantids","010","QUA","20120104","230","49",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...65","α-Centaurids","102","ACE","20120208","210","-59",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...66","γ-Normids","118","GNO","20120314","239","-50",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...67","Lyrids","006","LYR","20120422","271","34",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...68","π-Puppids","137","PPU","20120423","110","-45",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...69","η-Aquariids","031","ETA","20120505","338","-1",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...70","η-Lyrids","145","ELY","20120508","287","44",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...71","June Bootids","170","JBO","20120627","224","48",310.660045772745,20.1469034377593,14.8599678383822,4,10,-1,-1,0.0911567932142878,0.611701732403786,-0.71217280844018,0.344428340141507,2.97330541316658,0.611701732403786,-0.71217280844018,0.344428340141507,3.92593912695883
"...72","Piscis Austr.","183","PAU","20120727","341","-30",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...73","S. δ-Aquariids","005","SDA","20120729","340","-16",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...74","α-Capricornids","001","CAP","20120729","307","-10",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...75","Perseids","007","PER","20120812","48","58",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...76","κ-Cygnids","012","KCG","20120817","286","59",43.4800117151963,54.656157492233,8.13289447014512,20,210,-1,-1,0.0725814012362773,0.419754879520477,0.398054292396439,0.815695176780837,2.36339164530688,0.419754879520477,0.398054292396439,0.815695176780837,2.36960571760227
"...77","Aurigids","206","AUR","20120831","91","39",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...78","Sept. ε-Perseids","208","SPE","20120909","48","40",64.3615862766791,44.4967108671292,7.3236409366077,8,36,-1,-1,0.0258867215475691,0.308633947153099,0.64306196224049,0.700868318148359,6.80062250399046,0.308633947153099,0.64306196224049,0.700868318148359,8.077873907946
"...79","Draconids","009","DRA","20121008","262","54",335.281432221368,27.5307095732045,9.42255615999277,2,3,-1,-1,0.872124316058884,0.805511507789542,-0.37081021102127,0.46222396976031,12.3249890159676,0.805511507789542,-0.37081021102127,0.46222396976031,13.4166295742429
"...80","S. Taurids","002","STA","20121010","32","9",86.7298152603371,63.7228946081254,18.4420835715006,5,15,-1,-1,0.0262265948041173,0.0252543412033964,0.441992034100866,0.896663403982654,1.60869622608268,0.0252543412033965,0.441992034100866,0.896663403982654,1.89189836782994
"...81","δ-Aurigids","224","DAU","20121011","84","44",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...82","ε-Geminids","023","EGE","20121018","102","27",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...83","Orionids","008","ORI","20121021","95","16",91.9566178887854,16.7671728413347,6.495391342479,15,120,-1,-1,0.129519014123767,-0.0326912046443761,0.9569266916908,0.288483260985105,4.86311610083328,-0.0326912046443762,0.9569266916908,0.288483260985105,4.98293564009624
"...84","Leonis Minorids","022","LMI","20121024","162","37",107.874032612942,16.9206836680942,8.34350144830102,10,55,-1,-1,0.517664051273094,-0.293638075259409,0.910531704804056,0.291047582543765,4.2870237384241,-0.293638075259409,0.910531704804056,0.291047582543765,4.35202901030877
"...85","N. Taurids","017","NTA","20121112","58","22",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...86","Leonids","013","LEO","20121117","152","22",129.542361131304,22.0207282884972,9.11948859873949,21,231,-1,-1,0.0966220657799865,-0.590203927752017,0.714897068373222,0.374942002578353,1.7942444625341,-0.590203927752017,0.714897068373222,0.374942002578353,1.79504367459903
"...87","α-Monocerotids","246","AMO","20121121","117","1",101.022562257951,42.7736957475928,16.1773817515003,4,10,-1,-1,0.00757149020993341,-0.140345495859583,0.720500091855443,0.679104380363008,2.50875812725475,-0.140345495859583,0.720500091855443,0.679104380363008,5.05373538378693
"...88","Phoenicids","254","PHO","20121206","18","-53",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...89","Puppid-Velids","301","PUP","20121206","123","-45",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...90","Monocerotids","019","MON","20121208","100","8",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...91","σ-Hydrids","016","HYD","20121211","127","2",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...92","Geminids","004","GEM","20121213","112","33",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...93","Comae Ber.","020","COM","20121215","175","18",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...94","Dec. L. Minorids","032","DLM","20121219","161","30",198.314460057539,14.2207277305643,15.3179202122159,2,3,-1,-1,0.137217733365595,-0.920254953148071,-0.304602901033838,0.245658083295077,4.66363340039669,-0.920254953148071,-0.304602901033838,0.245658083295077,41.4272543292767
"...95","Ursids","015","URS","20121222","217","76",182.005297320835,21.015072810875,14.802478304099,7,28,-1,-1,0.326416902077392,-0.93291444772544,-0.0326644490950812,0.358613534310198,1.87277848491987,-0.93291444772544,-0.0326644490950812,0.358613534310199,1.91631082906525
"...96","﻿Quadrantids","010","QUA","20130103","230","49",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...97","α-Centaurids","102","ACE","20130208","210","-59",226.67733449196,20.4906071808115,15.9436591034447,7,28,-1,-1,0.769954966834763,-0.64269597555139,-0.68147208620825,0.350053822617354,1.61428153024087,-0.64269597555139,-0.68147208620825,0.350053822617355,1.6157491365808
"...98","γ-Normids","118","GNO","20130314","239","-50",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...99","Lyrids","006","LYR","20130422","271","34",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
